model,annual_return,volatility,sharpe,max_drawdown,avg_turnover,trade_count,start,end,days,delta_ann_return_vs_current,delta_sharpe_vs_current,delta_max_dd_vs_current,selection_score,pass_basic,pass_strict,budget_base,budget_tech_floor,budget_ind_floor,budget_energy_floor,budget_risk_floor,budget_crash_floor,budget_move_floor,budget_tech_mult,budget_ind_mult,budget_energy_mult,budget_risk_mult,budget_crash_mult,budget_move_mult,budget_min,budget_max,vol_target,vol_floor,vol_scale_min,vol_scale_max,hard_risk_off_max,hard_crash_max,tqqq_growth_min,tqqq_soxx_min,tqqq_risk_off_max,uxi_industrial_min,uxi_credit_min,uxi_copper_min,uxi_materials_min,uxi_risk_off_max,erx_war_min,erx_credit_min,erx_risk_off_max,score_base,tqqq_priority,uxi_priority,erx_priority,krw_bonus,tech_dominance_min,tech_dominance_boost,tqqq_abs_max,uxi_abs_max,erx_abs_max,instability_mid,instability_slope,instability_cut,opportunity_mid,opportunity_slope,opportunity_boost,leader_flip_cut,entropy_floor,entropy_cut,danger_transition_cut,danger_transition_cap,wide_gap_min,wide_gap_boost,conviction_scale_min,conviction_scale_max
CONVICTION_00050,0.7967437381775972,0.20799396755175317,3.8306098371788164,-0.12482857872213893,1.0495517172458115,65,2023-10-18,2026-05-11,642,0.1435963653688661,0.09832148604343471,-0.02232917375863297,0.1791075847903806,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.65,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.25,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00037,0.7924557488200901,0.206692710088534,3.8339801557619158,-0.12389199261907025,1.0484243596554659,65,2023-10-18,2026-05-11,642,0.13930837601135893,0.10169180462653404,-0.021392587655564288,0.17890579782969485,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.55,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.25,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00017,0.7880684302762204,0.2053680873546541,3.837346105849883,-0.12288043145460559,1.043866938818275,65,2023-10-18,2026-05-11,642,0.13492105746748928,0.10505775471450107,-0.02038102649109963,0.17881019659571948,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.65,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.25,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00023,0.7823246267521791,0.20360970711018428,3.8422756844732393,-0.12221752231239613,1.0438440143949932,65,2023-10-18,2026-05-11,642,0.12917725394344792,0.1099873333378576,-0.019718117348890174,0.1780108681627707,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.65,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.35,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00036,0.7852936948504583,0.2045311849796263,3.839481470410895,-0.12274973383008403,1.047869155753911,65,2023-10-18,2026-05-11,642,0.13214632204172716,0.10719311927551312,-0.02025032886657807,0.17786074035075697,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.55,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.35,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00021,0.7906651788126922,0.20626350940821567,3.833277059433176,-0.12389199261906991,1.0448589245012931,65,2023-10-18,2026-05-11,642,0.13751780600396102,0.10098870829779427,-0.021392587655563955,0.1767807087664314,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.65,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.25,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00040,0.7892773223295453,0.20582320228400458,3.8347344399027623,-0.12416606066478308,1.0492356526828375,65,2023-10-18,2026-05-11,642,0.13612994952081414,0.1024460887673806,-0.021666655701277127,0.1760726553531574,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.55,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.35,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00020,0.7833170757053736,0.20405603649107,3.8387351296988146,-0.12274973383008403,1.044340340386754,65,2023-10-18,2026-05-11,642,0.13016970289664243,0.10644677856343288,-0.02025032886657807,0.175525259830338,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.65,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.35,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00054,0.7989471318347019,0.20887622803977599,3.8249787413939687,-0.1258394925006825,1.050756840344989,65,2023-10-18,2026-05-11,642,0.14579975902597075,0.09269039025858694,-0.023340087537176535,0.17551031721723576,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.65,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.25,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00034,0.7941152941340714,0.20748413475040367,3.8273542942903322,-0.12482857872213926,1.0495517172458113,65,2023-10-18,2026-05-11,642,0.1409679213253403,0.09506594315495054,-0.022329173758633303,0.17413945014076113,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.55,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.25,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
