date,horizon_trading_days,with_emergency_return,without_emergency_return,effect
2023-11-15,1,-0.0005412734010861175,-0.0005412734010861175,0.0
2023-11-15,2,-0.00248948423819384,-0.00248948423819384,0.0
2023-11-15,5,0.005600334288945241,0.005600334288945241,0.0
2023-11-15,10,0.009883590350867166,0.009883590350867166,0.0
2023-11-15,21,0.13889100223802697,0.13889100223802697,0.0
2023-11-16,1,-0.0019492659229034537,-0.0019492659229034537,0.0
2023-11-16,2,-0.0015553200082075724,-0.0015553200082075724,0.0
2023-11-16,5,0.008806378030806084,0.008806378030806084,0.0
2023-11-16,10,0.0064392673683879575,0.0064392673683879575,0.0
2023-11-16,21,0.14075797402238122,0.14075797402238122,0.0
2023-11-17,1,0.00039471531981805086,0.00039471531981805086,0.0
2023-11-17,2,0.016098574341799177,0.016098574341799177,0.0
2023-11-17,5,0.009665432544906372,0.009665432544906372,0.0
2023-11-17,10,0.01938066123923865,0.01938066123923865,0.0
2023-11-17,21,0.13941271983528902,0.13941271983528902,0.0
2023-11-20,1,0.01569766291394359,0.01569766291394359,0.0
2023-11-20,2,0.00771224880231558,0.00771224880231558,0.0
2023-11-20,5,0.007448493406571943,0.007448493406571943,0.0
2023-11-20,10,0.006117816238805807,0.006117816238805807,0.0
2023-11-20,21,0.15425686003073036,0.15425686003073036,0.0
2023-11-21,1,-0.007861999099927575,-0.007861999099927575,0.0
2023-11-21,2,-0.005237605843441018,-0.005237605843441018,0.0
2023-11-21,5,-0.0016208924967694438,-0.0016208924967694438,0.0
2023-11-21,10,-0.01379452293021799,-0.01379452293021799,0.0
2023-11-21,21,0.09117765810573975,0.09117765810573975,0.0
2023-11-22,1,0.0026451897358086285,0.0026451897358086285,0.0
2023-11-22,2,0.0015429112569740333,0.0015429112569740333,0.0
2023-11-22,5,0.004259401986923983,0.004259401986923983,0.0
2023-11-22,10,-0.013340323612549332,-0.013340323612549332,0.0
2023-11-22,21,0.13983101835428768,0.13983101835428768,0.0
2023-11-24,1,-0.0010993704354428369,-0.0010993704354428369,0.0
2023-11-24,2,-0.002899257466013716,-0.002899257466013716,0.0
2023-11-24,5,-0.002346446963428561,-0.002346446963428561,0.0
2023-11-24,10,0.008808397518931477,0.008808397518931477,0.0
2023-11-24,21,0.14469028934584416,0.14469028934584416,0.0
2023-11-27,1,-0.0018018679509247404,-0.0018018679509247404,0.0
2023-11-27,2,0.004740337826264263,0.004740337826264263,0.0
2023-11-27,5,0.009622225720697042,0.009622225720697042,0.0
2023-11-27,10,0.018920837721583705,0.018920837721583705,0.0
2023-11-27,21,0.17453937753295756,0.17453937753295756,0.0
2023-11-28,1,0.006554015247212774,0.006554015247212774,0.0
2023-11-28,2,0.004522322461503192,0.004522322461503192,0.0
2023-11-28,5,-0.0013208389078696037,-0.0013208389078696037,0.0
2023-11-28,10,0.053269983987809466,0.053269983987809466,0.0
2023-11-28,21,0.18112040583871702,0.18112040583871702,0.0
2023-11-29,1,-0.0020184637435584074,-0.0020184637435584074,0.0
2023-11-29,2,-0.005960531927250767,-0.005960531927250767,0.0
2023-11-29,5,-0.012193394615290787,-0.012193394615290787,0.0
2023-11-29,10,0.059723553684538855,0.059723553684538855,0.0
2023-11-29,21,0.16919298077065248,0.16919298077065248,0.0
2023-11-30,1,-0.0039500411986373996,-0.0039500411986373996,0.0
2023-11-30,2,0.006891228717835762,0.006891228717835762,0.0
2023-11-30,5,-0.017525079242128316,-0.017525079242128316,0.0
2023-11-30,10,0.08434784103810511,0.08434784103810511,0.0
2023-11-30,21,0.16804305438453104,0.16804305438453104,0.0
2023-12-01,1,0.010884263204547828,0.010884263204547828,0.0
2023-12-01,2,-0.001874217710846282,-0.001874217710846282,0.0
2023-12-01,5,0.011181080294264012,0.011181080294264012,0.0
2023-12-01,10,0.13221713861908757,0.13221713861908757,0.0
2023-12-01,21,0.17280336024914744,0.17280336024914744,0.0
2023-12-04,1,-0.012621109438333833,-0.012621109438333833,0.0
2023-12-04,2,-0.016969796110836377,-0.016969796110836377,0.0
2023-12-04,5,0.009209991384895755,0.009209991384895755,0.0
2023-12-04,10,0.12125528868713831,0.12125528868713831,0.0
2023-12-04,21,0.16055667196655143,0.16055667196655143,0.0
2023-12-05,1,-0.004404273490218991,-0.004404273490218991,0.0
2023-12-05,2,-0.011776727091601824,-0.011776727091601824,0.0
2023-12-05,5,0.054663023944526934,0.054663023944526934,0.0
2023-12-05,10,0.13203755588749688,0.13203755588749688,0.0
2023-12-05,21,0.17577703675205658,0.17577703675205658,0.0
2023-12-06,1,-0.007405067544060451,-0.007405067544060451,0.0
2023-12-06,2,0.01756143125756182,0.01756143125756182,0.0
2023-12-06,5,0.07280468454836964,0.07280468454836964,0.0
2023-12-06,10,0.15231337035980208,0.15231337035980208,0.0
2023-12-06,21,0.1811076070650648,0.1811076070650648,0.0
2023-12-07,1,0.02515275666363581,0.02515275666363581,0.0
2023-12-07,2,0.03429071499961989,0.03429071499961989,0.0
2023-12-07,5,0.1036900974547521,0.1036900974547521,0.0
2023-12-07,10,0.11469486741578638,0.11469486741578638,0.0
2023-12-07,21,0.19004899977849954,0.19004899977849954,0.0
2023-12-08,1,0.008913752878862313,0.008913752878862313,0.0
2023-12-08,2,0.04104633318468798,0.04104633318468798,0.0
2023-12-08,5,0.11969770863355245,0.11969770863355245,0.0
2023-12-08,10,0.12689774017485833,0.12689774017485833,0.0
2023-12-08,21,0.16097729263474303,0.16097729263474303,0.0
2023-12-11,1,0.03184868896289461,0.03184868896289461,0.0
2023-12-11,2,0.04497519523925053,0.04497519523925053,0.0
2023-12-11,5,0.11102277846901543,0.11102277846901543,0.0
2023-12-11,10,0.12467040676394281,0.12467040676394281,0.0
2023-12-11,21,0.15097168466099609,0.15097168466099609,0.0
2023-12-12,1,0.012721348020075851,0.012721348020075851,0.0
2023-12-12,2,0.03416182763670328,0.03416182763670328,0.0
2023-12-12,5,0.0733642217336703,0.0733642217336703,0.0
2023-12-12,10,0.11714905064809411,0.11714905064809411,0.0
2023-12-12,21,0.11605588683811274,0.11605588683811274,0.0
2023-12-13,1,0.021171153998624348,0.021171153998624348,0.0
2023-12-13,2,0.062039735082457304,0.062039735082457304,0.0
2023-12-13,5,0.07411291818221688,0.07411291818221688,0.0
2023-12-13,10,0.10729796032197103,0.10729796032197103,0.0
2023-12-13,21,0.09781403082707274,0.09781403082707274,0.0
2023-12-14,1,0.04002128431047325,0.04002128431047325,0.0
2023-12-14,2,0.0411623213559662,0.0411623213559662,0.0
2023-12-14,5,0.009970887648999227,0.009970887648999227,0.0
2023-12-14,10,0.08042611718176795,0.08042611718176795,0.0
2023-12-14,21,0.06444609038218796,0.06444609038218796,0.0
2023-12-15,1,0.0010971285517964446,0.0010971285517964446,0.0
2023-12-15,2,-0.0020325320026381988,-0.0020325320026381988,0.0
2023-12-15,5,0.006430335157238787,0.006430335157238787,0.0
2023-12-15,10,0.035733455728638175,0.035733455728638175,0.0
2023-12-15,21,0.014938400595676748,0.014938400595676748,0.0
2023-12-18,1,-0.0031262306774988424,-0.0031262306774988424,0.0
2023-12-18,2,0.010259535752412674,0.010259535752412674,0.0
2023-12-18,5,0.012283842023233404,0.012283842023233404,0.0
2023-12-18,10,0.03471146512728929,0.03471146512728929,0.0
2023-12-18,21,0.027095701380027037,0.027095701380027037,0.0
2023-12-19,1,0.013427744657188434,0.013427744657188434,0.0
2023-12-19,2,-0.02691619686750324,-0.02691619686750324,0.0
2023-12-19,5,0.04079214494750305,0.04079214494750305,0.0
2023-12-19,10,0.03829719212358085,0.03829719212358085,0.0
2023-12-19,21,0.04759422661645374,0.04759422661645374,0.0
2023-12-20,1,-0.039809391184902676,-0.039809391184902676,0.0
2023-12-20,2,-0.004882086011728459,-0.004882086011728459,0.0
2023-12-20,5,0.030895301209034054,0.030895301209034054,0.0
2023-12-20,10,0.024876061442006714,0.024876061442006714,0.0
2023-12-20,21,0.032678643244481886,0.032678643244481886,0.0
2023-12-21,1,0.03637538719137812,0.03637538719137812,0.0
2023-12-21,2,0.04354670785157477,0.04354670785157477,0.0
2023-12-21,5,0.06975966376295628,0.06975966376295628,0.0
2023-12-21,10,0.06748409156254476,0.06748409156254476,0.0
2023-12-21,21,0.08048054052547893,0.08048054052547893,0.0
2023-12-22,1,0.00691961691567311,0.00691961691567311,0.0
2023-12-22,2,0.032040336346306875,0.032040336346306875,0.0
2023-12-22,5,0.029115895604260977,0.029115895604260977,0.0
2023-12-22,10,0.030129328031413216,0.030129328031413216,0.0
2023-12-22,21,0.04935923720088997,0.04935923720088997,0.0
2023-12-26,1,0.024948088217390918,0.024948088217390918,0.0
2023-12-26,2,0.028833776826084234,0.028833776826084234,0.0
2023-12-26,5,0.022155468825058033,0.022155468825058033,0.0
2023-12-26,10,0.023162031721287724,0.023162031721287724,0.0
2023-12-26,21,0.04208115534638179,0.04208115534638179,0.0
2023-12-27,1,0.003791107718881026,0.003791107718881026,0.0
2023-12-27,2,0.00016685089865298153,0.00016685089865298153,0.0
2023-12-27,5,-0.002397167230780761,-0.002397167230780761,0.0
2023-12-27,10,-0.0015242949181604182,-0.0015242949181604182,0.0
2023-12-27,21,0.013602365213005507,0.013602365213005507,0.0
2023-12-28,1,-0.003610568765113009,-0.003610568765113009,0.0
2023-12-28,2,-0.006599737058817667,-0.006599737058817667,0.0
2023-12-28,5,-0.005838846835336198,-0.005838846835336198,0.0
2023-12-28,10,-0.004751623756133583,-0.004751623756133583,0.0
2023-12-28,21,0.01715178672921769,0.01715178672921769,0.0
2024-01-12,1,-0.003831512125868186,-0.003831512125868186,0.0
2024-01-12,2,-0.013660940072562466,-0.013660940072562466,0.0
2024-01-12,5,0.007521375054545754,0.007521375054545754,0.0
