date,turnover,raw_budget,total_budget_before_vol,realized_vol_now,vol_scale,total_budget_before_conviction,total_budget,tech_state,industrial_state,energy_state,transition_instability_z,opportunity_stability_z,leader_flip_4,signal_entropy,danger_transition,score_gap_inferred,instability_penalty,opportunity_bonus,conviction_scale,score_TQQQ,score_UXI,score_ERX,target_TQQQ,target_UXI,target_ERX,allowed_TQQQ,allowed_UXI,allowed_ERX,exec_w_TQQQ,exec_w_UXI,exec_w_ERX,exec_w_QQQM,exec_w_XLE,exec_w_XSOE,exec_w_XLI,exec_w_XLB,exec_w_BIL,budget_reason
2023-10-17,0.0,0.07728182456211602,0.07728182456211602,,1.0,0.07728182456211602,0.059266749241162216,-0.05890612777969516,-0.3786730226181923,-0.06890446380200975,0.0,0.0,1.0,-0.0,0.0,0.0029331190096211,0.5,0.43782349911420193,0.7668911749557101,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2023-10-31,2.0,0.2495760934828775,0.2495760934828775,,1.0,0.2495760934828775,0.19139770357194005,-1.0119685690956675,0.5082102741676569,0.2845021132146348,0.0,0.0,1.0,0.37561496315083553,0.0,0.0005284569627297,0.5,0.43782349911420193,0.7668911749557101,0.0,0.38662728773365024,0.0,0.0,0.19139770357194005,0.0,False,True,False,0.0,0.19139770357194005,0.0,0.0,0.0,0.0,0.20860229642805997,0.6,0.0,
2023-11-14,2.0,0.24864122545614947,0.24864122545614947,,1.0,0.24864122545614947,0.19068076153249408,0.00033199092553778,0.13558227724765015,0.012518550917728051,0.0,0.0,1.0,0.37561496315083553,0.0,0.0018983060041837,0.5,0.43782349911420193,0.7668911749557101,0.9004979863883067,0.0,0.0,0.19068076153249408,0.0,0.0,True,False,False,0.19068076153249408,0.0,0.0,0.4093192384675059,0.0,0.4,0.0,0.0,0.0,
2023-11-29,0.9320329703106325,0.45329933546133216,0.45329933546133216,,1.0,0.45329933546133216,0.3566972466878103,0.9131973418453285,-0.5628698460062651,-0.12408479646116294,0.0,0.0,0.75,0.340929858357647,0.0,0.006783216783365,0.5,0.43782349911420193,0.7868911749557101,3.3101191852866565,0.0,0.0,0.3566972466878103,0.0,0.0,True,False,False,0.3566972466878103,0.0,0.0,0.3433027533121897,0.0,0.0,0.3,0.0,0.0,
2023-12-13,0.21109907730609145,0.33056551610912044,0.33056551610912044,,1.0,0.33056551610912044,0.25114770803476455,0.3765596070884463,0.01425614337008858,-0.178990906054288,0.0,0.0,0.5,0.340929858357647,0.4713948944759405,0.0050773221012216,0.5,0.43782349911420193,0.759751685508116,1.7089793124047812,0.0,0.0,0.25114770803476455,0.0,0.0,True,False,False,0.25114770803476455,0.0,0.0,0.4488522919652354,0.0,0.0,0.3,0.0,0.0,
2023-12-28,0.40465802044283744,0.42747670910276214,0.42747670910276214,,1.0,0.42747670910276214,0.35347671825618326,0.7036826675381299,0.1655604221822963,0.06352286566494934,0.0,0.0,0.25,0.37561496315083553,0.0,0.0012092757533005,0.5,0.43782349911420193,0.8268911749557101,2.4444050016339935,0.0,0.0,0.35347671825618326,0.0,0.0,True,False,False,0.35347671825618326,0.0,0.0,0.2465232817438167,0.0,0.0,0.4,0.0,0.0,
2024-01-12,1.5069534365123665,0.14909289877571655,0.14909289877571655,0.11628562419106059,1.0,0.14909289877571655,0.12537663620587836,-0.5469687477082084,-0.4565611243975392,-0.07749683332718327,0.0,0.0,0.0,0.340929858357647,0.459615449370132,0.0148914954835404,0.5,0.43782349911420193,0.8409296300186969,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.7,0.0,0.3,0.0,0.0,0.0,
2024-01-29,0.8,0.1788191337943649,0.1788191337943649,0.10381790228214516,1.0,0.1788191337943649,0.151440346323672,-0.26641783687463827,-1.0389501362924698,-0.3950835587513863,0.0,0.0,0.0,0.37561496315083553,0.0,0.0042389059950665,0.5,0.43782349911420193,0.8468911749557101,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,
2024-02-12,0.6400241162002956,0.37786679984814286,0.37786679984814286,0.11041918018238908,1.0,0.37786679984814286,0.3200120581001478,0.677699595743601,-1.1042580588607325,0.1277131369334288,0.0,0.0,0.0,0.37561496315083553,0.0,0.0005674125466536,0.5,0.43782349911420193,0.8468911749557101,2.3956867420192514,0.0,0.0,0.3200120581001478,0.0,0.0,True,False,False,0.3200120581001478,0.0,0.0,0.27998794189985216,0.4,0.0,0.0,0.0,0.0,
2024-02-27,0.6400241162002956,0.17744127519526395,0.17744127519526395,0.12274384250641651,1.0,0.17744127519526395,0.14565137168721148,-0.03340172990234344,-0.2610334401792246,0.08999472073530725,0.0,0.0,0.25,0.37561496315083553,0.0604849600781311,0.0010818206289562,0.5,0.43782349911420193,0.820842678947897,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,
