model,annual_return,volatility,sharpe,max_drawdown,avg_turnover,trade_count,transaction_cost,start,end,days,final_equity
CURRENT_BEST_CSV_COMMON,0.5931170615706942,0.1920835359089406,3.0878079100536144,-0.11787067687827257,,69,,2023-10-18,2026-07-20,689,3.5724886960630133
011_LIGHT_EXECUTION_COMMON,0.7073871735523896,0.22480402822658807,3.146683709952869,-0.12317985345341687,1.0685938997294406,69,0.001,2023-10-18,2026-07-20,689,4.317429257313632
DELTA_011_LIGHT_MINUS_CURRENT,0.11427011198169534,0.03272049231764748,0.0588757998992544,-0.005309176575144292,1.0685938997294406,69,0.001,2023-10-18,2026-07-20,689,0.744940561250619
