model,start,end,days,annual_return,volatility,sharpe,max_drawdown,final_equity
034_EXECUTION_GRADE_EXPECTED_RETURN_SIGNAL_CORRECTED,2023-10-18,2026-06-17,668,1.1074669728441604,0.24609307842409775,4.500195535510501,-0.11445300342684805,7.214778673543559
034_PRE_COMMON_TECHNOLOGY_LEVERAGE,2023-10-18,2026-06-17,668,0.9758889679671552,0.2271676033226777,4.295898507063811,-0.11381722746905543,6.081426380589153
022F_BASE_COMMON,2023-10-18,2026-07-17,688,0.8241287881659805,0.2515292066852139,3.276473531749213,-0.199551074993486,5.160870305376383
EXPANDED_CANDIDATE_COMMON,2023-10-18,2026-07-17,688,0.6859564052350944,0.23896223207266507,2.870564102475008,-0.1682254563335457,4.162234237211933
