model,annual_return,volatility,sharpe,max_drawdown,avg_turnover,trade_count,transaction_cost,start,end,days,final_equity
011_LIGHT_EXECUTION_COST_0.001,0.7034344114617943,0.22299467943857518,3.154489664205456,-0.12119780244471201,1.0818941851470083,70,0.001,2023-10-18,2026-08-07,703,4.419004815024414
cost_sensitivity_0.0000,0.7504747720448661,0.22233631521474165,3.3754034797240675,-0.12008366663509018,1.0818941851470083,70,0.0,2023-10-18,2026-08-07,703,4.7679055768346705
cost_sensitivity_0.0005,0.7268029441080288,0.22264538017738017,3.264397148186904,-0.12058658992880167,1.0818941851470083,70,0.0005,2023-10-18,2026-08-07,703,4.590204582976508
cost_sensitivity_0.0010,0.7034344114617943,0.22299467943857518,3.154489664205456,-0.12119780244471201,1.0818941851470083,70,0.001,2023-10-18,2026-08-07,703,4.419004815024414
cost_sensitivity_0.0020,0.6575925806013414,0.2238132056484672,2.9381312809316125,-0.12242022747653258,1.0818941851470083,70,0.002,2023-10-18,2026-08-07,703,4.095183533066969
cost_sensitivity_0.0030,0.6129203933881866,0.22479014426228622,2.7266337472208217,-0.12364265250835293,1.0818941851470083,70,0.003,2023-10-18,2026-08-07,703,3.7946714026422437
