Date,portfolio_return
2023-10-18,0.00010914432822550779
2023-10-19,0.0004365296681649866
2023-10-20,0.00021798151934238064
2023-10-23,0.00010906102500252146
2023-10-24,0.00010914313986476465
2023-10-25,0.00010903723132660303
2023-10-26,0.00043591339928994444
2023-10-27,0.0003271214086399965
2023-10-30,0.00010856653851565312
2023-10-31,0.0
2023-11-01,0.012622309075170703
2023-11-02,0.02468905107642927
2023-11-03,0.026738770372464304
2023-11-06,-0.007172688346511635
2023-11-07,0.0014131101658705902
2023-11-08,-0.004826305181445778
2023-11-09,-0.010137126619916115
2023-11-10,0.025755085253043153
2023-11-13,-0.004693542965087616
2023-11-14,0.04594933524103151
2023-11-15,0.0009256468787521861
2023-11-16,-0.002758306165162017
2023-11-17,-0.0003767072277746308
2023-11-20,0.009304900228919388
2023-11-21,-0.005270003441282522
2023-11-22,0.0005339101862669169
2023-11-24,0.0023218018472765944
2023-11-27,0.0008474873452864794
2023-11-28,0.007350004395467513
2023-11-29,0.0027188842287864997
2023-11-30,-0.007309749936713004
2023-12-01,0.0040156865664587645
2023-12-04,-0.01046004374122269
2023-12-05,-0.0023529084461465953
2023-12-06,-0.006086083673528453
2023-12-07,0.021870088586768643
2023-12-08,0.006432334860762312
2023-12-11,0.02388610943211118
2023-12-12,0.007593732534185449
2023-12-13,0.014212286056245204
2023-12-14,0.026964224302788598
2023-12-15,-0.001129890270985401
2023-12-18,-0.0015228911883067298
2023-12-19,0.010954057840288202
2023-12-20,-0.02561074591147392
2023-12-21,0.023413909414222944
2023-12-22,0.005649285315219332
2023-12-26,0.015803561368483977
2023-12-27,0.002952568798920563
2023-12-28,-0.002648204002785759
2023-12-29,-0.002
2024-01-02,0.00010907799774861893
2024-01-03,0.00032840808068135274
2024-01-04,0.0003280211764369323
2024-01-05,0.00010927353835721298
2024-01-08,0.00010954056474021812
2024-01-09,0.00010906367486929192
2024-01-10,0.00021884730872656633
2024-01-11,0.0005463479271496929
2024-01-12,0.00021830836102432194
2024-01-16,-0.0010977760712211331
2024-01-17,-0.00814493723105636
2024-01-18,0.01946114900385132
2024-01-19,0.024356570668729982
2024-01-22,0.012317364234306294
2024-01-23,0.0018656547049796246
2024-01-24,0.0031714932204475743
2024-01-25,0.0027540003148054937
2024-01-26,-0.013452685170177892
2024-01-29,0.013953605799433388
2024-01-30,-0.0075826608644126705
2024-01-31,-0.007915444547648365
2024-02-01,0.008956721592597527
2024-02-02,0.00564595446755356
2024-02-05,0.008381063606365147
2024-02-06,-0.00038887920281294175
2024-02-07,0.009002086063320203
2024-02-08,0.0077297588437040265
2024-02-09,0.009575573522485281
2024-02-12,-0.0002459031102186038
2024-02-13,-0.018355596065465385
2024-02-14,0.013937771204071137
2024-02-15,0.0019903236491127796
2024-02-16,-0.008249883941212677
2024-02-20,-0.009877146123696917
2024-02-21,-0.0036859646957608516
2024-02-22,0.034498034752895756
2024-02-23,-0.004983662281515588
2024-02-26,0.0021748357940560847
2024-02-27,0.0015034695641251983
2024-02-28,-0.011239736333833182
2024-02-29,0.01703006205268931
2024-03-01,0.026579071656588904
2024-03-04,0.004451385462133195
2024-03-05,-0.014591578971777097
2024-03-06,0.016017642370208196
2024-03-07,0.021313241951397943
2024-03-08,-0.020545448803438504
2024-03-11,-0.010605409084565975
2024-03-12,0.009690813254127295
2024-03-13,-0.010234009774961306
2024-03-14,-0.017487385452297444
2024-03-15,-0.002644819697093015
2024-03-18,-0.003253989028471016
2024-03-19,-0.002074138189739394
2024-03-20,0.0184078831736606
2024-03-21,0.01699451881075542
2024-03-22,-0.006301541574332048
2024-03-25,-0.000805698778591879
2024-03-26,-0.004662845881716393
2024-03-27,0.013308832441182639
2024-03-28,0.000611210196457268
2024-04-01,0.0014168544483310064
2024-04-02,-0.010029302476387447
2024-04-03,0.0039734841694614165
2024-04-04,-0.01855019712852457
2024-04-05,0.012873524348968157
2024-04-08,0.0004105386328626115
2024-04-09,0.00422231692344649
2024-04-10,-0.013402281413056383
2024-04-11,-0.001672388987939753
2024-04-12,0.00010913733539630321
2024-04-15,0.0002184342555531238
2024-04-16,0.00010937664024845972
2024-04-17,0.0001090896623519022
2024-04-18,0.0005455721394493906
2024-04-19,0.00010910989776102831
2024-04-22,0.0002181959881799589
2024-04-23,0.0001090741945384277
2024-04-24,0.0
2024-04-25,-0.0005570898045751801
2024-04-26,0.002951088261160806
2024-04-29,0.005277008797817007
2024-04-30,-0.009469961823799347
2024-05-01,-0.003917551909781297
2024-05-02,0.00846987578611405
2024-05-03,0.005829914275729958
2024-05-06,0.0026977244296146063
2024-05-07,0.002899357975471653
2024-05-08,-0.0032779627847932674
2024-05-09,0.0019437892544749995
2024-05-10,0.005505524306102072
2024-05-13,0.0007176444965036333
2024-05-14,0.008804879078439964
2024-05-15,0.01491004961411213
2024-05-16,-0.006035101717887736
2024-05-17,0.0014365463222304475
2024-05-20,0.01170254387341041
2024-05-21,-0.0016076270811688498
2024-05-22,0.0009942633341988305
2024-05-23,-0.0073816337494812785
2024-05-24,0.023299200257115578
2024-05-28,0.01941722632733352
2024-05-29,-0.02344271793599357
2024-05-30,-0.010466538482459585
2024-05-31,-0.009526197729617616
2024-06-03,0.0018247230721097725
2024-06-04,-0.007151891364213557
2024-06-05,0.052213084309375324
2024-06-06,-0.007840589019067867
2024-06-07,-0.004131506012899729
2024-06-10,0.016216051377064573
2024-06-11,0.0032726962292161143
2024-06-12,0.03435268465471216
2024-06-13,0.014208164980303948
2024-06-14,-0.0026851906067573523
2024-06-17,0.019927433118302303
2024-06-18,0.014446487952846074
2024-06-20,-0.03151081763255645
2024-06-21,-0.011664985736938449
2024-06-24,-0.005668096112343394
