model,annual_return,volatility,sharpe,max_drawdown,avg_turnover,trade_count,transaction_cost,start,end,days,final_equity
AI_RALLY_2023_2024,0.4146354477527663,0.15431910208834168,2.686870530878307,-0.09052981543559402,,,,2023-10-18,2024-12-31,303,1.51751195491864
RECENT_2025_2026,0.9784586138267122,0.27100877485997327,3.6104314863320166,-0.12119784912731502,,,,2025-01-02,2026-07-15,383,2.8207848231840504
