signal_date,asset,raw_expected_10d_return,adjusted_expected_10d_return,calibrated_bucket_realized_10d_return,historical_bucket_hit_rate,historical_bucket_sample_count,score_decile,annualized_vol_21d,annualized_vol_63d,expected_return_per_10d_vol,is_production_universe,expected_return_rank,risk_adjusted_rank,tradable_score_0_100,confidence_label
2026-07-24,SOXX,0.06339150710410986,0.06124081215100716,0.038241094756258136,0.8738738738738738,111,10,0.6183737489103163,0.6385970983158491,0.48140907299163344,False,1,3,94.4,HIGH
2026-07-24,XLP,0.013338683778566996,0.013338683778566996,0.021620598297523646,0.7706422018348624,109,9,0.18901808934165643,0.16476024896819028,0.40640665187123337,False,5,4,77.4,HIGH
2026-07-24,GLD,0.014520574615725567,0.014520574615725567,0.021620598297523646,0.7706422018348624,109,9,0.21166856297427317,0.24069055450615892,0.30284822023554997,False,2,11,72.4,HIGH
2026-07-24,XLV,0.012815139268235803,0.013694969021777817,0.021620598297523646,0.7706422018348624,109,9,0.2179843476380035,0.18222181649689273,0.37727754114467477,False,4,8,72.1,HIGH
2026-07-24,XLB,0.013329447485472535,0.013215931164675137,0.021620598297523646,0.7706422018348624,109,9,0.1753100772578524,0.19384373658926232,0.3422522134621949,True,6,9,63.0,HIGH
2026-07-24,XSOE,0.017169006291777193,0.014232286841319284,0.021620598297523646,0.7706422018348624,109,9,0.2897099003710437,0.3363679050601429,0.2124028833994078,True,3,15,60.2,HIGH
2026-07-24,TLT,0.011382020963435843,0.011382020963435843,0.00967233960094881,0.5765765765765766,111,8,0.06879972756554997,0.08817363626145697,0.6480087948085912,False,11,2,59.2,HIGH
2026-07-24,IEF,0.011172807174295672,0.011172807174295672,0.00967233960094881,0.5765765765765766,111,8,0.04089368612214062,0.04993485084881319,1.1232044539644597,False,12,1,58.0,HIGH
2026-07-24,FEZ,0.013203416267518637,0.013203416267518637,0.021620598297523646,0.7706422018348624,109,9,0.16204890004525288,0.20985204537580385,0.3158445442342005,False,7,10,57.4,HIGH
2026-07-24,XLRE,0.01282719794506427,0.01282719794506427,0.00967233960094881,0.5765765765765766,111,8,0.1732542602891694,0.16309436903316185,0.3948145053699499,False,10,5,56.1,HIGH
2026-07-24,XLU,0.012944451556250207,0.012944451556250207,0.00967233960094881,0.5765765765765766,111,8,0.16316424055870227,0.1700311654574124,0.3821689448538408,False,9,7,55.1,HIGH
2026-07-24,XLE,0.008862816317883574,0.013131216602126763,0.021620598297523646,0.7706422018348624,109,9,0.18491043355919426,0.24232422500376105,0.2720247395139191,True,8,13,47.4,HIGH
2026-07-24,XLF,0.011728111779625662,0.010060959200068324,0.010119070907037694,0.6036036036036037,111,7,0.13591375167117392,0.12964801069449816,0.38955950096863146,False,14,6,40.4,HIGH
2026-07-24,XLI,0.013088602286268096,0.010853186868425006,0.00967233960094881,0.5765765765765766,111,8,0.1614669023923879,0.19076039428687633,0.28560732369823316,True,13,12,30.5,HIGH
2026-07-24,IWM,0.012321407129460527,0.00947943804344139,0.010119070907037694,0.6036036036036037,111,7,0.11276164767973493,0.183791283286736,0.25891544179210296,False,16,14,16.0,HIGH
2026-07-24,QQQM,0.014077965665539385,0.009627668650364102,0.010119070907037694,0.6036036036036037,111,7,0.23035746064537674,0.24282500895579767,0.1990343303545282,True,15,16,15.1,HIGH
