signal_date,asset,raw_expected_10d_return,adjusted_expected_10d_return,calibrated_bucket_realized_10d_return,historical_bucket_hit_rate,historical_bucket_sample_count,score_decile,annualized_vol_21d,annualized_vol_63d,expected_return_per_10d_vol,is_production_universe,expected_return_rank,risk_adjusted_rank,tradable_score_0_100,confidence_label
2026-07-16,SOXX,0.03328673279869416,0.03090359979313072,0.038449972335279275,0.8715596330275229,109,10,0.7012710013267076,0.6224799043487824,0.24922063933905153,False,1,3,94.3,HIGH
2026-07-16,TLT,0.0075755646186318245,0.0075755646186318245,0.0029394275271765534,0.5688073394495413,109,5,0.09060692410304036,0.08977885700411156,0.423585617349406,False,4,2,83.2,HIGH
2026-07-16,XLV,0.007192060761787787,0.008166978809518284,0.0021522329793458245,0.5779816513761468,109,6,0.22728459391443384,0.18513666653089816,0.22144672372615343,False,3,6,78.0,HIGH
2026-07-16,XSOE,0.01474673958540288,0.011170972544749719,0.009290789063225394,0.5740740740740741,108,8,0.3427301528064407,0.334100033149802,0.1678474455255935,True,2,10,72.6,HIGH
2026-07-16,XLP,0.007176855743195887,0.007176855743195887,0.0029394275271765534,0.5688073394495413,109,5,0.18936972356133172,0.15836583862813705,0.227495590029351,False,6,5,69.8,HIGH
2026-07-16,IEF,0.006766197051561296,0.006766197051561296,0.0029394275271765534,0.5688073394495413,109,5,0.05182645668661061,0.05090236859391836,0.6672781751893269,False,10,1,64.8,HIGH
2026-07-16,FEZ,0.007210729070964065,0.007210729070964065,0.0029394275271765534,0.5688073394495413,109,5,0.15953641277421515,0.21401294190682105,0.16913730698967255,False,5,9,64.4,HIGH
2026-07-16,XLRE,0.007176855743195885,0.007176855743195885,0.0029394275271765534,0.5688073394495413,109,5,0.18439077643534546,0.16513741420917483,0.21816697367905963,False,7,7,61.9,HIGH
2026-07-16,XLU,0.007154103787593322,0.007154103787593322,0.0029394275271765534,0.5688073394495413,109,5,0.15462058823945468,0.17598016065857913,0.20407593591307113,False,8,8,56.3,HIGH
2026-07-16,XLF,0.00774974429181158,0.0063288089650290445,0.0031146657647987738,0.5648148148148148,108,4,0.14349166824046589,0.13052683667876444,0.24340104815265573,False,11,4,54.7,HIGH
2026-07-16,GLD,0.007051129489513765,0.007051129489513765,0.0029394275271765534,0.5688073394495413,109,5,0.223427963220794,0.24026595268197984,0.1473217021373062,False,9,11,46.3,HIGH
2026-07-16,QQQM,0.008056303560128283,0.0059394500544349,0.0031146657647987738,0.5648148148148148,108,4,0.2518368005115666,0.23509408320506406,0.12682498102191994,True,12,13,31.6,HIGH
2026-07-16,XLB,0.007711610914842023,0.005187161384110866,0.0031146657647987738,0.5648148148148148,108,4,0.17167439029890522,0.1903309669333651,0.13681086113914798,True,14,12,26.9,HIGH
2026-07-16,XLE,0.005922341618720801,0.005922341618720801,0.0031146657647987738,0.5648148148148148,108,4,0.212753422299968,0.2486684115256844,0.11955647600260678,True,13,15,23.8,HIGH
2026-07-16,XLI,0.007269500996767842,0.0048074616542100185,0.008533275566751583,0.7064220183486238,109,3,0.1730346643805149,0.1960655085156712,0.1230877687449473,True,15,14,20.5,HIGH
2026-07-16,IWM,0.00703576205257426,0.004007823374659821,0.008533275566751583,0.7064220183486238,109,3,0.13025007400879335,0.18563178415687936,0.10838183642580179,False,16,16,12.7,HIGH
