score_decile,sample_count,avg_expected_return,avg_realized_return,median_realized_return,hit_rate,avg_error,top_asset_rate
1,111,-0.013860591564567001,-0.023026867190403092,-0.020915963170352936,0.16216216216216217,-0.009166275625836095,0.04504504504504504
2,110,0.0015077984348227664,0.00505581636355809,0.004642526745489706,0.6090909090909091,0.003548017928735323,0.03636363636363636
3,111,0.004305077690692718,0.007808718305126915,0.0089452745352534,0.7027027027027027,0.0035036406144341964,0.018018018018018018
4,110,0.005709261617583136,0.0023574556888116736,0.001984702548792905,0.5454545454545454,-0.003351805928771461,0.01818181818181818
5,110,0.006945164112452648,0.0022045597395914506,0.0013250959591871725,0.5363636363636364,-0.004740604372861197,0.02727272727272727
6,110,0.008432834472667404,0.0030585689175257795,0.004940367661939393,0.5909090909090909,-0.005374265555141624,0.03636363636363636
7,111,0.009649364784254688,0.009592553251978305,0.004840773960688605,0.5945945945945946,-5.681153227638219e-05,0.05405405405405406
8,112,0.011630109149167416,0.009618694373283483,0.00428623994942523,0.5714285714285714,-0.002011414775883933,0.0625
9,108,0.01536285891654551,0.021907133564438276,0.020341884099779772,0.7777777777777778,0.006544274647892767,0.12962962962962962
10,111,0.03082444357203404,0.03815711866316394,0.03336789493273784,0.8738738738738738,0.007332675091129897,0.1981981981981982
