signal_date,execution_date,maturity_date,monitor_status,completed_signal_count,completed_prediction_count,source_model,expected_portfolio_return,realized_portfolio_return,benchmark_return,realized_alpha,rank_ic,rolling_rank_ic_20,rolling_rank_ic_60,rolling_directional_accuracy_20,prediction_mae_20,prediction_rmse_20,mean_prediction_error_20,calibration_error_20,rolling_portfolio_return_20,rolling_sharpe_20,rolling_sortino_20,rolling_maximum_drawdown_20,rolling_alpha_20,win_rate_20,top_etf_hit,top_3_etf_hit,top_etf_hit_rate_20,top_3_etf_hit_rate_20,allocation_turnover,allocation_persistence,average_holding_period_sessions,concentration_hhi,growth_strength,usd_strength,vix_level,risk_off_strength,rank_ic_trend,directional_accuracy_trend,prediction_bias_trend,overall_health
2026-07-13,2026-07-14,2026-07-27,COMPLETED,1,16,022F_BASE,0.0062871621707215001,-0.0069171889496709967,-0.015740830075228529,0.0088236411255575332,-0.44741968246419966,-0.44741968246419966,-0.44741968246419966,0.5,0.019171336268738383,0.029269011549100436,0.0066857979343575569,0.014334833197830322,-0.0069171889496709715,,-5.0199601592044534,0,0.0088236411255575575,0,False,False,0,0,0,1,1,0.43380000000000002,-0.85432405958900692,1.7161820688391367,,-0.20844711006177841,→ Stable,→ Stable,→ Stable,WATCH
2026-07-15,2026-07-16,2026-07-29,COMPLETED,2,32,022F_BASE,0.0044024763772309997,-0.0026816519806969635,-0.03095274389007896,0.028271091909381995,-0.13107525260803668,-0.28924746753611819,-0.28924746753611819,0.4375,0.029441122217998814,0.046048899204269945,0.012917530622937325,0.016952866025584594,-0.0095802914369201853,-8.0444358085385161,-4.5927176375770493,-0.0026816519806969197,0.036626060646451464,0,False,False,0,0,0.070000000000000007,0.92999999999999994,1.75,0.46879999999999999,-1.6051329510522587,1.5241630757551337,,0.40460961379046462,→ Stable,→ Stable,→ Stable,WATCH
2026-07-16,2026-07-17,2026-07-30,COMPLETED,3,48,022F_BASE,0.0093825685907919995,0.0047487251395295291,-0.00052556953354843117,0.0052742946730779602,-0.27814577066573548,-0.2855469019126573,-0.2855469019126573,0.41666666666666669,0.026855074754714558,0.040968292275135258,0.012254925185484489,0.014708620390853683,-0.0048770604681811491,-1.3742964302620004,-1.8947740507874038,-0.0026816519806969197,0.04183057649782751,0.33333333333333331,False,False,0,0,0.69999999999999996,0.29999999999999999,1.8,0.57999999999999996,-2.4541434448711423,1.7351874526614488,,1.2657260237211141,→ Stable,→ Stable,→ Stable,WATCH
2026-07-17,2026-07-20,2026-07-31,COMPLETED,4,64,022F_BASE,0.0097659335907998007,-0.0074950043564994554,-4.0114932959411931e-05,-0.0074548894235400434,-0.15894044038042027,-0.25389528652959803,-0.25389528652959803,0.421875,0.024308599924470407,0.037230691798935345,0.011533736080526305,0.013593258559842281,-0.012335511235224583,-2.7436110434656418,-2.9382324907627777,-0.0074950043564994129,0.034410366990017871,0.25,False,False,0,0,0.10000000000000009,0.89999999999999991,2.2000000000000002,0.68000000000000005,-2.098938668619672,1.625949886447803,,1.2810857805973974,→ Stable,→ Stable,→ Stable,WATCH
2026-07-20,2026-07-21,2026-08-03,COMPLETED,5,80,022F_BASE,0.0099402215751532002,-0.010390294553280593,0.015248770877096751,-0.025639065430377344,-0.44411764705882351,-0.29193975863544314,-0.29193975863544314,0.46250000000000002,0.023072537665687846,0.035589949323132503,0.0098097487716000235,0.013736841677903186,-0.022597636193305903,-3.8813705255677031,-3.4476688285227675,-0.017807423606837847,0.0096122883413451987,0.20000000000000001,False,False,0,0,0.10000000000000003,0.89999999999999991,2.3333333333333335,0.54479999999999984,-2.0738486640180627,1.8473786587836687,,0.94158153407586642,→ Stable,→ Stable,→ Stable,WATCH
2026-07-21,2026-07-22,2026-08-04,COMPLETED,6,96,022F_BASE,0.0091442844301719006,0.021460770747352552,0.033095848134602646,-0.011635077387250094,-0.5,-0.32661646552953594,-0.32661646552953594,0.5,0.022390873098160749,0.034058054578662754,0.007651235475678011,0.011655398595264568,-0.0016218281357298636,-0.090001406542149942,-0.17644970193668003,-0.017807423606837847,-0.0014417369648556111,0.33333333333333331,False,False,0,0,0,0.99999999999999978,2.8333333333333335,0.54479999999999984,-2.1844286467885494,1.991313730533989,17.049999237060547,1.1320580538312477,→ Stable,→ Stable,→ Stable,WATCH
2026-07-22,2026-07-23,2026-08-05,COMPLETED,7,112,022F_BASE,0.0059247936205143997,0.027003694848795987,0.041143112529654191,-0.014139417680858204,-0.25901405099031449,-0.31695897773821857,-0.31695897773821857,0.5357142857142857,0.02259442739760148,0.033483096297995923,0.006109033135901748,0.010259241068700542,0.025338071360991643,1.2360877804251977,3.297481823100993,-0.017807423606837847,-0.015617540486479342,0.42857142857142855,False,False,0,0,0.27374999999999999,0.72624999999999995,2.625,0.54369062500000009,-2.3766635028254202,1.6726722401113947,17.190000534057617,1.1110971309039486,→ Stable,→ Stable,→ Stable,WATCH
2026-07-23,2026-07-24,2026-08-06,COMPLETED,8,128,022F_BASE,0.0130349489538279,0.027806167389645191,0.041299372515857247,-0.013493205126212056,-0.21927894089520944,-0.30474897313284244,-0.30474897313284244,0.5546875,0.023347143151882674,0.034466770092279941,0.0059120131430337669,0.0082668089480241961,0.053848793404231321,2.0683973169537198,6.4180374732777308,-0.017807423606837847,-0.030097632029400412,0.5,False,False,0,0,0.37375000000000003,0.62624999999999997,2.6666666666666665,0.46879999999999999,-1.7824946328836229,1.8033402889568888,19.170000076293945,0.8469846677828754,→ Stable,→ Stable,→ Stable,WATCH
2026-07-24,2026-07-27,,PENDING,8,128,022F_BASE,0.013927380138325901,,,,,-0.30474897313284244,-0.30474897313284244,0.5546875,0.023347143151882674,0.034466770092279941,0.0059120131430337669,0.0082668089480241961,0.053848793404231321,2.0683973169537198,6.4180374732777308,-0.017807423606837847,-0.030097632029400412,0.5,,,0,0,0.39999999999999997,0.59999999999999998,2.6000000000000001,0.57999999999999996,-2.0890455252539946,1.5858530358635372,18.329999923706048,0.97758861504668237,→ Stable,→ Stable,→ Stable,WATCH
2026-07-27,2026-07-28,,PENDING,8,128,022F_BASE,0.0139168791972981,,,,,-0.30474897313284244,-0.30474897313284244,0.5546875,0.023347143151882674,0.034466770092279941,0.0059120131430337669,0.0082668089480241961,0.053848793404231321,2.0683973169537198,6.4180374732777308,-0.017807423606837847,-0.030097632029400412,0.5,,,0,0,0.29691712104689205,0.70308287895310795,2.2857142857142856,0.4497301381925855,-2.4759358333270267,1.6095615335523541,19.120000839233398,1.2471548480707253,→ Stable,→ Stable,→ Stable,WATCH
